Unnamed: 0,NestID,County,Substrate,Latitude,Longitude,Occupied,Active,Successful,Hatched,Fledged,Perished,Status,Year,Station,Distance
0,AL102,Alachua,tree,29.491,-82.181,1,1,1,1,1,0,,2016,USW00012816,24.134468945782988
1,BE027,Brevard,tree,28.045,-80.612,1,1,1,2,2,0,,2016,USW00012843,47.49431690854012
2,BE037,Brevard,tree,28.152,-80.69,1,1,1,2,2,0,,2016,USW00012843,61.51963359888026
3,BE056,Brevard,tree,28.26,-80.692,0,0,0,0,0,0,,2016,USW00012815,64.31861098185064
4,BO002,Broward,tree,26.007,-80.426,1,1,1,1,1,0,,2016,USW00012882,17.911156390479913
5,BO003,Broward,tree,26.307,-80.165,1,0,0,0,0,0,,2016,USW00092805,8.625589558656541
6,CH017,Charlotte,tree,26.925,-82.338,1,1,1,2,2,0,,2016,USW00012871,57.300119042851435
7,CL007,Clay,tree,30.128,-81.759,1,1,1,1,1,0,,2016,USW00093837,14.694885356869367
8,CL011,Clay,tree,30.141,-81.71,0,0,0,0,0,0,,2016,USW00093837,11.079195425533893
9,CL016,Clay,tree,30.104,-81.76,1,1,0,1,0,1,,2016,USW00093837,16.950181274700267
10,CL020,Clay,tree,30.067,-81.699,0,0,0,0,0,0,,2016,USW00093837,18.754497767636675
11,CL023,Clay,tree,29.843,-81.967,1,1,1,2,2,0,,2016,USW00012816,34.24578371262893
12,CL028,Clay,tree,30.023,-81.694,1,1,1,1,1,0,,2016,USW00093837,23.534893958686233
13,CL029,Clay,tree,30.132,-81.723,1,1,1,2,2,0,,2016,USW00093837,12.500816013777655
14,CL032,Clay,tree,30.141,-81.706,1,1,1,2,2,0,,2016,USW00093837,10.940477561714657
15,CO029,Collier,tree,25.954,-81.737,1,1,1,1,1,0,,2016,USC00085359,2.382729823804235
16,CO036,Collier,tree,26.289,-81.813,1,1,1,2,2,0,,2016,USW00012897,15.37345801874084
17,CO040,Collier,tree,26.115,-81.767,1,1,1,2,2,0,,2016,USW00012897,4.519233586263552
18,CO043,Collier,tree,26.260667,-81.777667,1,1,1,1,1,0,,2016,USW00012897,11.754578206645391
19,CO056,Collier,tree,26.148341,-81.67956,1,1,1,2,2,0,,2016,USW00012897,9.568560175414646
20,DA003,Dade,tree,25.872275,-80.382611,1,1,1,2,2,0,,2016,USW00012882,10.834456432609938
21,DU006,Duval,tree,30.285333,-81.414833,1,0,0,0,0,0,,2016,USW00053860,11.022474982407353
22,DU010,Duval,tree,30.473,-81.505,1,1,0,2,0,2,,2016,USW00003853,11.730390005296854
23,DU012,Duval,tree,30.35,-81.416,1,1,1,2,2,0,,2016,USW00003853,5.560125525371683
24,DU013,Duval,tree,30.355,-81.476,1,1,1,2,2,0,,2016,USW00053860,4.0522253292860375
